#ZVView-data-copy:  30-May-2023 19:01:46
#=======================================
#
#name:   64-GD-155(N,G)64-GD-156,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  71
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0        66000         2000  # 1958,N.J.Pattenden       ## 21325019  #dY:3.0%   
    6.31843e-7       4.4691 
    6.77689e-7      4.25843 
    7.31989e-7      4.04317 
    7.90601e-7       3.8438 
    8.53949e-7      3.65696 
    9.28833e-7       3.4652 
    1.01028e-6      3.28345 
    1.10657e-6      3.09547 
     1.2121e-6      2.91454 
    1.31839e-6       2.7541 
    1.41406e-6       2.6284 
    1.49556e-6      2.53901 
    1.55976e-6      2.48557 
    1.60408e-6      2.46175 
     1.6437e-6      2.45376 
    1.67257e-6      2.45915 
    1.69616e-6      2.47294 
    1.72009e-6       2.4982 
    1.74436e-6      2.53913 
    1.76282e-6      2.58392 
    1.78145e-6      2.64487 
    1.79833e-6      2.71783 
    1.81154e-6      2.78998 
    1.82258e-6      2.86294 
    1.83362e-6         2.95 
    1.84465e-6      3.05426 
    1.85569e-6      3.17965 
    1.86397e-6      3.29051 
    1.87224e-6      3.41859 
    1.88052e-6      3.56693 
     1.8888e-6      3.73901 
    1.89708e-6      3.93875 
    1.90536e-6      4.17027 
    1.91363e-6      4.43757 
    1.92191e-6      4.74375 
    1.93019e-6      5.09002 
    1.93847e-6      5.47422 
     1.9495e-6      6.03208 
    1.96054e-6      6.60806 
    1.96827e-6      6.99146 
    1.97489e-6      7.28527 
    1.98151e-6      7.52879 
    1.98648e-6      7.66843 
      1.992e-6       7.7721 
    1.99641e-6      7.81181 
    1.99807e-6      7.81624 
    2.00287e-6      7.79602 
    2.00789e-6      7.72204 
    2.01098e-6      7.65022 
    2.01628e-6      7.48303 
     2.0218e-6      7.25518 
    2.02731e-6      6.98108 
    2.03283e-6      6.67099 
    2.04084e-6       6.1801 
    2.05656e-6      5.18678 
    2.06208e-6      4.85875 
     2.0676e-6      4.55118 
    2.07312e-6      4.26763 
    2.07864e-6      4.01008 
    2.08416e-6      3.77927 
    2.08967e-6      3.57488 
    2.09519e-6      3.39589 
    2.10071e-6      3.24079 
    2.10623e-6      3.10781 
    2.11175e-6      2.99506 
    2.11727e-6      2.90067 
    2.12278e-6      2.82286 
     2.1283e-6         2.76 
    2.13382e-6      2.71063 
    2.13934e-6      2.67347 
    2.14707e-6      2.63988 
