#ZVView-data-copy:  30-May-2023 22:21:15
#=======================================
#
#name:   47-AG-107(N,G)47-AG-108-G,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  4
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0         33.1        1.655  # 1988,F.De Corte+         ## 23488044  #dY:5.0%   
         0.024            0          1.1        0.187  # 1951,V.Hummel+           ## 11010011  #dY:17.0%  
         0.024            0         0.93         0.18  # 1957,R.L.Macklin+        ## 11399029  #dY:19.4%  
         0.024            0         0.84         0.09  # 1965,A.K.Chaubey+        ## 30063003  #dY:10.7%  
//
#-------------------------------------------------------------------------------
#
#name:   47-AG-107(N,G)47-AG-108,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  83
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         0.011        0.001        1.206        0.065  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
        0.0125       0.0025         1.13            0  # 1982,R.L.Macklin         ## 12794002             
         0.013        0.001        1.138     0.072035  # 1982,M.Mizumoto+         ## 21814002  #dY:6.3%   
         0.013        0.001        1.136        0.061  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.015        0.001        1.068     0.067604  # 1982,M.Mizumoto+         ## 21814002  #dY:6.3%   
         0.015        0.001         1.07        0.058  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.017        0.001        1.062     0.065313  # 1982,M.Mizumoto+         ## 21814002  #dY:6.1%   
         0.017        0.001         1.08        0.058  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
        0.0175       0.0025        1.067            0  # 1982,R.L.Macklin         ## 12794002             
         0.019        0.001        1.037     0.063776  # 1982,M.Mizumoto+         ## 21814002  #dY:6.2%   
         0.019        0.001         1.06        0.056  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.3%   
         0.021        0.001        0.972        0.052  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.3%   
        0.0225       0.0025        0.963     0.059513  # 1982,M.Mizumoto+         ## 21814002  #dY:6.2%   
         0.023        0.001        0.947        0.051  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.025        0.005        0.914            0  # 1982,R.L.Macklin         ## 12794002             
         0.025        0.001         0.92         0.05  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.027        0.001        0.891        0.048  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
        0.0275       0.0025        0.911       0.0563  # 1982,M.Mizumoto+         ## 21814002  #dY:6.2%   
          0.03        0.002        0.824        0.044  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.3%   
        0.0325       0.0025        0.825     0.050985  # 1982,M.Mizumoto+         ## 21814002  #dY:6.2%   
         0.034        0.002         0.84        0.045  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.035        0.005        0.757            0  # 1982,R.L.Macklin         ## 12794002             
        0.0375       0.0025        0.762     0.047168  # 1982,M.Mizumoto+         ## 21814002  #dY:6.2%   
         0.038        0.002        0.741         0.04  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.4%   
         0.042        0.002        0.695        0.038  # 1987,M.V.Bokhovko+       ## 40967002  #dY:5.5%   
