#ZVView-data-copy:  30-May-2023 20:43:01
#=======================================
#
#name:   64-GD-156(N,2N)64-GD-155,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  14
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
    7.71735e-5     0.020852 
    7.71848e-5    0.0199666 
    7.71949e-5    0.0193128 
    7.72037e-5    0.0188457 
    7.72112e-5    0.0185248 
    7.72213e-5    0.0182129 
    7.72304e-5    0.0180469 
    7.72389e-5     0.017994 
    7.72474e-5    0.0180409 
    7.72565e-5    0.0182044 
    7.72652e-5    0.0184754 
    7.72747e-5    0.0188916 
    7.72841e-5    0.0194403 
    7.72935e-5    0.0201241 
    7.73029e-5    0.0209456 
    7.73124e-5    0.0219076 
     7.7323e-5    0.0231712 
    7.73306e-5    0.0241761 
    7.73406e-5    0.0256641 
    7.73507e-5    0.0273249 
    7.73607e-5    0.0291619 
    7.73708e-5    0.0311789 
    7.73802e-5    0.0332366 
    7.73896e-5    0.0354589 
    7.73997e-5    0.0380144 
     7.7411e-5    0.0411227 
    7.74223e-5    0.0444837 
    7.74361e-5    0.0489432 
    7.74462e-5    0.0524356 
    7.74562e-5    0.0561427 
    7.74663e-5    0.0600689 
    7.74788e-5     0.065292 
    7.74914e-5    0.0708741 
     7.7504e-5    0.0768247 
    7.75165e-5    0.0831534 
    7.75316e-5    0.0912615 
    7.75467e-5    0.0999467 
    7.75617e-5     0.109227 
    7.75768e-5     0.119123 
    7.75944e-5     0.131471 
     7.7612e-5     0.144715 
    7.76296e-5      0.15889 
    7.76472e-5      0.17403 
    7.76673e-5     0.192563 
    7.76874e-5     0.212463 
    7.77075e-5     0.233789 
    7.77276e-5     0.256605 
    7.77464e-5     0.279406 
    7.77653e-5     0.303632 
    7.77841e-5     0.329341 
     7.7803e-5     0.356597 
    7.78281e-5     0.395456 
    7.78532e-5     0.437343 
    7.78783e-5     0.482433 
    7.79035e-5      0.53091 
    7.79286e-5      0.58297 
    7.79512e-5     0.633062 
    7.79738e-5     0.686388 
    7.79964e-5     0.743122 
     7.8019e-5     0.803445 
    7.80417e-5     0.867553 
    7.80668e-5     0.943471 
    7.80932e-5      1.02882 
    7.81195e-5      1.12029 
    7.81459e-5      1.21831 
    7.81723e-5      1.32329 
    7.81987e-5       1.4357 
