#ZVView-data-copy:  30-May-2023 21:59:27
#=======================================
#
#name:   40-ZR-94(N,A)38-SR-91,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  86
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         14.05            0      0.00674      0.00055  # 1988,Y.Ikeda+            ## 22089060  #dY:8.2%   
          14.1            0       0.0108       0.0006  # 1960,C.H.Reed            ## 11896013  #dY:5.6%   
          14.2          0.2        0.016        0.002  # 1978,C.V.Srinivasa Rao   ## 30574010  #dY:12.5%  
          14.2          0.3       0.0052       0.0008  # 1990,A.Marcinkowski+     ## 30940005  #dY:15.4%  
          14.3            0       0.0101       0.0011  # 1991,N.I.Molla+          ## 30985009  #dY:10.9%  
         14.35         0.05       0.0056     0.000728  # 1989,T.Katoh+            ## 22156012  #dY:13.0%  
         14.44            0       0.0075        0.001  # 1988,Y.Ikeda+            ## 22089060  #dY:13.3%  
          14.5            0       0.0106      0.00424  # 1953,E.B.Paul+           ## 11274066  #dY:40.0%  
          14.5            0       0.0051            0  # 1963,S.K.Mukherjee+      ## 31330006             
         14.53            0       0.0088       0.0006  # 2007,S.V.Begun+          ## 32220003  #dY:6.8%   
         14.58            0       0.0112        0.001  # 1991,N.I.Molla+          ## 30985009  #dY:8.9%   
          14.6            0       0.0107       0.0011  # 1977,Y.Fujino+           ## 20850005  #dY:10.3%  
          14.6          0.2        0.048        0.012  # 1962,P.Strohal+          ## 30008025  #dY:25.0%  
          14.6         0.12       0.0073       0.0008  # 1993,A.Grallert+         ## 31496040  #dY:11.0%  
         14.64         0.05       0.0077     0.000847  # 1989,T.Katoh+            ## 22156012  #dY:11.0%  
         14.68            0      0.00891      0.00072  # 1988,Y.Ikeda+            ## 22089060  #dY:8.1%   
          14.7          0.2        0.007        0.004  # 1963,E.T.Bramlitt+       ## 11590042  #dY:57.1%  
          14.7          0.3        0.011        0.001  # 1974,S.M.Qaim+           ## 20513018  #dY:9.1%   
          14.7          0.3       0.0096       0.0006  # 1985,B.Anders+           ## 21976029  #dY:6.2%   
          14.7         0.15       0.0089       0.0019  # 1972,V.K.Tikku+          ## 30394010  #dY:21.3%  
          14.7            0        0.008       0.0002  # 1996,K.T.Osman+          ## 31464024  #dY:2.5%   
          14.8         0.25        0.005        0.002  # 1971,R.Prasad+           ## 30336027  #dY:40.0%  
          14.8         0.17       0.0114       0.0018  # 1987,I.F.Goncalves+      ## 30740007  #dY:15.8%  
          14.8          0.3       0.0074       0.0009  # 1990,A.Marcinkowski+     ## 30940005  #dY:12.2%  
          14.8            0        0.009        0.002  # 1970,V.N.Levkovskii+     ## 40226021  #dY:22.2%  
         14.81          0.2        0.009       0.0008  # 2010,V.Semkova+          ## 22822012  #dY:8.9%   
         14.81        0.125       0.0057       0.0002  # 1977,K.Sailer+           ## 30438012  #dY:3.5%   
         14.83            0       0.0104        0.001  # 1991,N.I.Molla+          ## 30985009  #dY:9.6%   
         14.87         0.05       0.0066     0.000858  # 1989,T.Katoh+            ## 22156012  #dY:13.0%  
         14.94            0      0.00886      0.00071  # 1988,Y.Ikeda+            ## 22089060  #dY:8.0%   
          15.2          0.2       0.0083        0.001  # 1990,A.Marcinkowski+     ## 30940005  #dY:12.0%  
          15.3          0.2       0.0106       0.0007  # 2010,V.Semkova+          ## 22822012  #dY:6.6%   
          15.4          0.2       0.0086        0.001  # 1990,A.Marcinkowski+     ## 30940005  #dY:11.6%  
          15.9          0.5       0.0073       0.0016  # 1990,A.Marcinkowski+     ## 30940005  #dY:21.9%  
          16.3          0.3       0.0128       0.0012  # 2010,V.Semkova+          ## 22822012  #dY:9.4%   
          16.6          0.1       0.0089       0.0019  # 1990,A.Marcinkowski+     ## 30940005  #dY:21.3%  
          17.8          0.2       0.0147       0.0013  # 2010,V.Semkova+          ## 22822012  #dY:8.8%   
          19.3          0.2       0.0155       0.0012  # 2010,V.Semkova+          ## 22822012  #dY:7.7%   
          19.9          0.1       0.0165       0.0017  # 2010,V.Semkova+          ## 22822012  #dY:10.3%  
          20.6          0.1       0.0168       0.0014  # 2010,V.Semkova+          ## 22822012  #dY:8.3%   
//
#-------------------------------------------------------------------------------
#
#name:   40-ZR-94(N,TOT),,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  553
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         0.001       0.0001        5.101            1  # 1959,H.W.Newson+         ## 11452013  #dY:19.6%  
        0.0013       0.0001        6.401            1  # 1959,H.W.Newson+         ## 11452013  #dY:15.6%  
        0.0016       0.0001        7.401            1  # 1959,H.W.Newson+         ## 11452013  #dY:13.5%  
        0.0019       0.0001        6.301            1  # 1959,H.W.Newson+         ## 11452013  #dY:15.9%  
        0.0022       0.0001          4.4            1  # 1959,H.W.Newson+         ## 11452013  #dY:22.7%  
        0.0025       0.0001        8.201            1  # 1959,H.W.Newson+         ## 11452013  #dY:12.2%  
        0.0028       0.0001        6.501            1  # 1959,H.W.Newson+         ## 11452013  #dY:15.4%  
        0.0031       0.0001        9.501            1  # 1959,H.W.Newson+         ## 11452013  #dY:10.5%  
      0.003205            0        2.208         2.24  # 1968,W.M.Good+           ## 11876010  #dY:101.4% 
      0.003241            0       12.207         2.79  # 1968,W.M.Good+           ## 11876010  #dY:22.9%  
      0.003282            0        2.818        2.155  # 1968,W.M.Good+           ## 11876010  #dY:76.5%  
