#ZVView-data-copy:  30-May-2023 21:50:59
#=======================================
#
#name:   40-ZR-91(N,P)39-Y-91-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  57
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
     5.2989e-5            0       7.1114      0.30304  # 1977,A.R.De+             ## 13741002  #dY:4.3%   
      5.312e-5            0       7.5634      0.30272  # 1977,A.R.De+             ## 13741002  #dY:4.0%   
     5.3252e-5            0       7.7748      0.30368  # 1977,A.R.De+             ## 13741002  #dY:3.9%   
     5.3384e-5            0       8.0503      0.30325  # 1977,A.R.De+             ## 13741002  #dY:3.8%   
     5.3516e-5            0       7.2185       0.3003  # 1977,A.R.De+             ## 13741002  #dY:4.2%   
      5.365e-5            0       7.0247      0.30268  # 1977,A.R.De+             ## 13741002  #dY:4.3%   
     5.3783e-5            0       7.2143      0.29944  # 1977,A.R.De+             ## 13741002  #dY:4.2%   
     5.3918e-5            0       7.8086      0.29913  # 1977,A.R.De+             ## 13741002  #dY:3.8%   
     5.4052e-5            0       7.4768      0.29745  # 1977,A.R.De+             ## 13741002  #dY:4.0%   
     5.4187e-5            0       6.3342      0.29837  # 1977,A.R.De+             ## 13741002  #dY:4.7%   
     5.4323e-5            0        7.526      0.29949  # 1977,A.R.De+             ## 13741002  #dY:4.0%   
     5.4459e-5            0       7.7139      0.29912  # 1977,A.R.De+             ## 13741002  #dY:3.9%   
     5.4596e-5            0       7.1962      0.29754  # 1977,A.R.De+             ## 13741002  #dY:4.1%   
     5.4733e-5            0       7.1526      0.29663  # 1977,A.R.De+             ## 13741002  #dY:4.1%   
     5.4871e-5            0       7.5555      0.29959  # 1977,A.R.De+             ## 13741002  #dY:4.0%   
     5.5009e-5            0       7.0823      0.29456  # 1977,A.R.De+             ## 13741002  #dY:4.2%   
     5.5148e-5            0       7.5974      0.29259  # 1977,A.R.De+             ## 13741002  #dY:3.9%   
     5.5288e-5            0       7.6925      0.29568  # 1977,A.R.De+             ## 13741002  #dY:3.8%   
     5.5427e-5            0       7.4288       0.2961  # 1977,A.R.De+             ## 13741002  #dY:4.0%   
     5.5568e-5            0       7.5716      0.29338  # 1977,A.R.De+             ## 13741002  #dY:3.9%   
     5.5709e-5            0       7.4237      0.29497  # 1977,A.R.De+             ## 13741002  #dY:4.0%   
      5.585e-5            0       6.6863      0.29254  # 1977,A.R.De+             ## 13741002  #dY:4.4%   
     5.5992e-5            0       7.9955       0.2916  # 1977,A.R.De+             ## 13741002  #dY:3.6%   
