#ZVView-data-copy:  30-May-2023 21:20:45
#=======================================
#
#name:   56-BA-138(N,A)54-XE-135-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  22
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         16.95         0.33      0.00447      0.00021  # 1992,Lu Hanlin+          ## 31421011  #dY:4.7%   
         17.98         0.21       0.0036      0.00019  # 1992,Lu Hanlin+          ## 31421011  #dY:5.3%   
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-138(N,P)55-CS-138,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  3
#ldata:  11
#data...
#            X            Y         +-dY  # Comments...
#          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
         13.35            0      0.00163      0.00012  # 1988,Y.Ikeda+            ## 22089104  #dY:7.4%   
         13.58            0      0.00181      0.00013  # 1988,Y.Ikeda+            ## 22089104  #dY:7.2%   
         13.76            0      0.00173      0.00015  # 1988,Y.Ikeda+            ## 22089104  #dY:8.7%   
         13.99            0      0.00212      0.00015  # 1988,Y.Ikeda+            ## 22089104  #dY:7.1%   
            14            0       0.0032       0.0002  # 1986,J.Rama Rao+         ## 30938004  #dY:6.2%   
         14.23            0      0.00223      0.00017  # 1988,Y.Ikeda+            ## 22089104  #dY:7.6%   
         14.44            0      0.00276      0.00019  # 1988,Y.Ikeda+            ## 22089104  #dY:6.9%   
         14.69            0      0.00313      0.00022  # 1988,Y.Ikeda+            ## 22089104  #dY:7.0%   
          14.7            0      0.00316      0.00015  # 1988,Fan Yangmei+        ## 32502006  #dY:4.7%   
          14.8            0      0.00287      0.00049  # 2012,B.Lalremruata+      ## 33034012  #dY:17.1%  
         14.96            0      0.00309      0.00021  # 1988,Y.Ikeda+            ## 22089104  #dY:6.8%   
//
#-------------------------------------------------------------------------------
#
#name:   56-BA-138(N,G)56-BA-139,,SIG,,AV
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  14
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0        0.403        0.001  # 2013,F.Farina Arbocco+   ## 23266122  #dY:0.2%   
        0.0035       0.0005            0            0  # 1976,A.R.De+             ## 30328016             
        0.0045       0.0005       0.0137       0.0018  # 1976,A.R.De+             ## 30328016  #dY:13.1%  
        0.0055       0.0005            0            0  # 1976,A.R.De+             ## 30328016             
         0.007        0.001       0.0128        0.002  # 1976,A.R.De+             ## 30328016  #dY:15.6%  
         0.009        0.001       0.0054       0.0008  # 1976,A.R.De+             ## 30328016  #dY:14.8%  
        0.0125       0.0025       0.0027       0.0004  # 1976,A.R.De+             ## 30328016  #dY:14.8%  
        0.0175       0.0025       0.0055       0.0007  # 1976,A.R.De+             ## 30328016  #dY:12.7%  
         0.025        0.005       0.0029       0.0006  # 1976,A.R.De+             ## 30328016  #dY:20.7%  
         0.035        0.005       0.0032       0.0007  # 1976,A.R.De+             ## 30328016  #dY:21.9%  
         0.045        0.005       0.0021       0.0007  # 1976,A.R.De+             ## 30328016  #dY:33.3%  
         0.055        0.005       0.0063       0.0013  # 1976,A.R.De+             ## 30328016  #dY:20.6%  
          0.07         0.01       0.0032        0.001  # 1976,A.R.De+             ## 30328016  #dY:31.3%  
          0.09         0.01       0.0025        0.001  # 1976,A.R.De+             ## 30328016  #dY:40.0%  
//
