#ZVView-data-copy:  30-May-2023 20:49:41
#=======================================
#
#name:   64-GD-160(N,G)64-GD-161,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  200
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
   0.000220912      1.52074 
   0.000220925      1.64912 
   0.000220937      1.78903 
    0.00022095      1.94163 
   0.000220963      2.10816 
   0.000220976      2.29002 
   0.000220988      2.48872 
   0.000221001      2.70597 
   0.000221014      2.94358 
   0.000221027      3.20361 
    0.00022104      3.48823 
   0.000221049      3.71937 
   0.000221059      3.96681 
   0.000221068      4.23178 
   0.000221078      4.51551 
   0.000221087      4.81941 
   0.000221097      5.14485 
   0.000221106      5.49338 
   0.000221116      5.86659 
   0.000221126      6.26631 
   0.000221135      6.69422 
   0.000221145      7.15232 
   0.000221154      7.64257 
   0.000221164       8.1672 
   0.000221173      8.72836 
   0.000221183       9.3285 
   0.000221193      9.96998 
   0.000221202      10.6556 
   0.000221212      11.3878 
   0.000221221      12.1697 
   0.000221231       13.004 
    0.00022124      13.8939 
    0.00022125      14.8425 
   0.000221259      15.8531 
   0.000221269       16.929 
   0.000221279      18.0739 
   0.000221288      19.2912 
   0.000221302      21.2611 
   0.000221317      23.4148 
   0.000221331      25.7654 
   0.000221346      28.3258 
    0.00022136      31.1099 
   0.000221374      34.1305 
   0.000221389      37.4008 
   0.000221403      40.9335 
   0.000221417      44.7413 
   0.000221432      48.8356 
   0.000221446      53.2275 
    0.00022146       57.926 
   0.000221475      62.9408 
   0.000221489      68.2776 
   0.000221507       75.465 
   0.000221524      82.7096 
   0.000221541      90.4202 
   0.000221558       98.592 
   0.000221582      111.013 
   0.000221606      123.941 
   0.000221629       137.62 
   0.000221653      152.091 
   0.000221694      178.096 
   0.000221779       233.79 
   0.000221813      255.003 
   0.000221847      274.616 
   0.000221872      287.877 
   0.000221898      299.603 
   0.000221924      309.558 
   0.000221949      317.539 
   0.000221969      322.393 
   0.000221993      326.176 
   0.000222014      327.957 
   0.000222026       328.27 
