#ZVView-data-copy:  30-May-2023 20:45:01
#=======================================
#
#name:   64-GD-157(N,G)64-GD-158,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  71
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
       2.53e-8            0       264000         4500  # 1958,N.J.Pattenden       ## 21325021  #dY:1.7%   
          0.55         0.05        0.197        0.001  # 1988,H.Beer+             ## 12964005  #dY:0.5%   
          0.65         0.05        0.175        0.001  # 1988,H.Beer+             ## 12964005  #dY:0.6%   
          0.75         0.05        0.154        0.001  # 1988,H.Beer+             ## 12964005  #dY:0.6%   
          0.85         0.05        0.139        0.001  # 1988,H.Beer+             ## 12964005  #dY:0.7%   
          0.95         0.05         0.13       0.0012  # 1988,H.Beer+             ## 12964005  #dY:0.9%   
//
#-------------------------------------------------------------------------------
#
#name:   64-GD-157(N,2N)64-GD-156,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  17
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          6.89        0.185        0.112         0.02  # 2016,J.Frehaut+          ## 20416104  #dY:17.9%  
          7.41        0.165        0.365        0.028  # 2016,J.Frehaut+          ## 20416104  #dY:7.7%   
          7.93         0.15         0.71        0.045  # 2016,J.Frehaut+          ## 20416104  #dY:6.3%   
          8.44        0.135        1.023        0.062  # 2016,J.Frehaut+          ## 20416104  #dY:6.1%   
          8.94        0.125        1.186        0.084  # 2016,J.Frehaut+          ## 20416104  #dY:7.1%   
          9.44        0.115        1.363        0.083  # 2016,J.Frehaut+          ## 20416104  #dY:6.1%   
          9.93         0.11        1.512        0.104  # 2016,J.Frehaut+          ## 20416104  #dY:6.9%   
         10.42          0.1         1.61        0.094  # 2016,J.Frehaut+          ## 20416104  #dY:5.8%   
         10.91        0.095        1.678        0.098  # 2016,J.Frehaut+          ## 20416104  #dY:5.8%   
          11.4         0.09        1.742        0.109  # 2016,J.Frehaut+          ## 20416104  #dY:6.3%   
         11.88        0.085        1.707        0.095  # 2016,J.Frehaut+          ## 20416104  #dY:5.6%   
         12.36        0.085        1.763        0.107  # 2016,J.Frehaut+          ## 20416104  #dY:6.1%   
         12.85         0.08        1.804        0.152  # 2016,J.Frehaut+          ## 20416104  #dY:8.4%   
         13.33        0.075        1.819         0.13  # 2016,J.Frehaut+          ## 20416104  #dY:7.1%   
          13.8        0.075        1.905        0.155  # 2016,J.Frehaut+          ## 20416104  #dY:8.1%   
         14.28         0.07        1.872        0.157  # 2016,J.Frehaut+          ## 20416104  #dY:8.4%   
         14.76        0.065        1.873        0.164  # 2016,J.Frehaut+          ## 20416104  #dY:8.8%   
//
#-------------------------------------------------------------------------------
#
#name:   64-GD-157(N,P)63-EU-157,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  5
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          13.5          0.2       0.0031       0.0002  # 2010,Junhua Luo+         ## 32680006  #dY:6.5%   
          14.1          0.2       0.0042       0.0002  # 2010,Junhua Luo+         ## 32680006  #dY:4.8%   
          14.5            0       0.0113     0.001695  # 1959,R.F.Coleman+        ## 21440020  #dY:15.0%  
          14.7          0.3       0.0054       0.0011  # 1976,S.M.Qaim            ## 20716009  #dY:20.4%  
          14.8          0.2       0.0051       0.0002  # 2010,Junhua Luo+         ## 32680006  #dY:3.9%   
//
#-------------------------------------------------------------------------------
#
#name:   ENDF/B-VIII.0: GD-157(N,EL)GD-157-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  5782
#data...
#            X            Y
#          MeV        barns
         1e-11      3378.75 
   1.10304e-11      3223.71 
   1.21669e-11      3076.42 
   1.35153e-11      2926.76 
   1.50122e-11      2785.25 
   1.66759e-11      2651.33 
   1.85229e-11      2524.79 
   2.05756e-11      2405.12 
   2.28546e-11      2292.14 
   2.53873e-11      2185.39 
   2.81993e-11       2084.7 
   3.13243e-11      1989.67 
   3.47938e-11      1900.14 
   3.86497e-11      1815.76 
   4.29306e-11      1736.36 
   4.76881e-11      1661.66 
   5.29701e-11      1591.49 
   5.88402e-11      1525.59 
   6.58186e-11      1459.82 
   7.36246e-11       1398.5 
   8.23564e-11       1341.4 
   9.21237e-11      1288.33 
    1.0305e-10      1239.07 
   1.15272e-10      1193.44 
   1.29845e-10      1148.75 
    1.4627e-10      1107.73 
   1.64763e-10      1070.21 
   1.86904e-10      1034.04 
    2.1202e-10      1001.33 
   2.42208e-10      970.294 
   2.78632e-10      941.241 
   3.20534e-10      915.602 
    3.7132e-10       892.05 
   4.33187e-10      870.731 
   5.12492e-10      850.997 
   6.10592e-10      833.907 
   7.37698e-10      818.946 
   9.10213e-10      806.014 
    1.14695e-9      795.671 
    1.48625e-9      788.282 
    2.00871e-9      784.677 
    2.13936e-9      784.565 
    3.07947e-9      788.262 
    4.85542e-9      804.109 
    1.46854e-8      914.504 
    1.88974e-8      955.528 
    2.26725e-8      985.318 
    2.52419e-8      1001.17 
       2.53e-8      1001.48 
    2.86998e-8      1016.04 
    3.21036e-8      1022.79 
    3.32487e-8      1023.27 
    3.65327e-8      1019.71 
    4.00147e-8      1008.26 
    4.35236e-8      989.422 
    4.73403e-8      961.719 
    5.18549e-8       921.21 
    5.75985e-8      861.356 
    7.36032e-8      680.901 
    7.94968e-8      618.636 
     8.4672e-8        567.9 
    8.95523e-8      523.775 
    9.40505e-8      486.355 
    9.87795e-8      450.293 
    1.03741e-7      415.886 
    1.08194e-7      387.795 
    1.12838e-7      361.085 
    1.17682e-7      335.799 
    1.22733e-7      311.954 
    1.28002e-7      289.547 
    1.32568e-7      271.946 
    1.37289e-7      255.334 
    1.42187e-7      239.637 
    1.47251e-7      224.871 
    1.52504e-7      210.961 
    1.57936e-7      197.909 
    1.63569e-7      185.643 
    1.69395e-7      174.157 
    1.75438e-7      163.381 
    1.81687e-7      153.306 
    1.88167e-7      143.867 
     1.9487e-7      135.053 
    2.01821e-7      126.802 
     2.0901e-7      119.102 
    2.16465e-7        111.9 
    2.24175e-7      105.183 
    2.32172e-7       98.901 
    2.40441e-7      93.0446 
    2.49018e-7      87.5702 
    2.57888e-7      82.4652 
    2.67086e-7        77.69 
      2.766e-7      73.2373 
    2.86466e-7      69.0736 
     2.9667e-7      65.1887 
    3.07252e-7      61.5532 
    3.18196e-7      58.1608 
    3.29546e-7      54.9856 
    3.41284e-7      52.0213 
    3.53458e-7      49.2455 
     3.6863e-7      46.1545 
    3.84453e-7      43.3028 
    4.00956e-7      40.6648 
    4.18167e-7      38.2248 
    4.36116e-7      35.9685 
    4.54836e-7       33.881 
     4.7436e-7      31.9487 
    4.94722e-7      30.1589 
    5.15957e-7      28.5003 
    5.38105e-7      26.9624 
    5.61202e-7      25.5355 
    5.85292e-7      24.2107 
    6.10415e-7      22.9801 
    6.41076e-7      21.6541 
     6.7331e-7      20.4342 
    7.07131e-7      19.3131 
    7.42686e-7      18.2807 
    7.79991e-7      17.3298 
     8.1921e-7      16.4501 
    8.60359e-7      15.6394 
    9.03619e-7      14.8907 
    9.55702e-7       14.102 
    1.01079e-6      13.3785 
    1.06905e-6      12.7141 
    1.13067e-6      12.1028 
    1.19584e-6      11.5393 
    1.27362e-6      10.9564 
    1.35653e-6      10.4206 
    1.44477e-6      9.92667 
     1.5496e-6      9.41908 
    1.66204e-6      8.94801 
    1.79521e-6       8.4594 
    1.96632e-6      7.90296 
    2.23055e-6      7.08592 
    2.32629e-6      6.75772 
