#ZVView-data-copy:  30-May-2023 21:48:02
#=======================================
#
#name:   40-ZR-90(N,2N)40-ZR-89,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  181
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          15.3          0.2       0.0124        0.001  # 2010,V.Semkova+          ## 22822003  #dY:8.1%   
          15.4          0.2       0.0118       0.0014  # 1990,A.Marcinkowski+     ## 30940002  #dY:11.9%  
          15.9          0.5        0.012       0.0017  # 1990,A.Marcinkowski+     ## 30940002  #dY:14.2%  
          16.3          0.2        0.012       0.0008  # 2010,V.Semkova+          ## 22822003  #dY:6.7%   
          16.6          0.1       0.0121        0.002  # 1990,A.Marcinkowski+     ## 30940002  #dY:16.5%  
            17          0.2       0.0109       0.0009  # 2010,V.Semkova+          ## 22822003  #dY:8.3%   
            18          0.1       0.0114       0.0007  # 2010,V.Semkova+          ## 22822003  #dY:6.1%   
          19.1          0.2         0.01       0.0008  # 2010,V.Semkova+          ## 22822003  #dY:8.0%   
          19.4          0.2       0.0095       0.0008  # 2010,V.Semkova+          ## 22822003  #dY:8.4%   
          19.9          0.1       0.0087       0.0008  # 2010,V.Semkova+          ## 22822003  #dY:9.2%   
          20.6          0.1       0.0084       0.0008  # 2010,V.Semkova+          ## 22822003  #dY:9.5%   
//
#-------------------------------------------------------------------------------
#
#name:   40-ZR-90(N,A)38-SR-87-M,,SIG
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  4
#ldata:  85
#data...
#            X         +-dX            Y         +-dY  # Comments...
#          MeV          MeV        barns        barns  # Year,Author(s)           ## EXFOR-ID
          5.38            0       1.1e-5         6e-6  # 1991,P.Raics+            ## 30988002  #dY:54.5%  
